1	中国	1447470	741999	705471
2	インド	1380004	717101	662903
3	アメリカ合衆国	331003	163786	167217 # アメリカ
4	インドネシア	273524	137718	135806
5	パキスタン	220892	113672	107220
6	ブラジル	212559	104436	108124
7	ナイジェリア	206140	104470	101670
8	バングラデシュ	164689	83259	81430
9	ロシア	145934	67640	78294
10	メキシコ	128933	63071	65861
11	日本	126476	61753	64723
12	エチオピア	114964	57517	57447
13	フィリピン	109581	55029	54552
14	エジプト	102334	51703	50632
15	ベトナム	97339	48598	48740
16	コンゴ民主共和国	89561	44710	44851
17	トルコ	84339	41636	42703
18	イラン	83993	42408	41585
19	ドイツ	83784	41416	42368
20	タイ	69800	33966	35834
21	グレートブリテン及び北アイルランド連合王国	67886	33542	34344 # イギリス
22	フランス	65274	31589	33684
23	イタリア	60462	29438	31024
24	タンザニア	59734	29851	29883
25	南アフリカ	59309	29216	30093
26	ミャンマー	54410	26220	28190
27	ケニア	53771	26719	27053
28	韓国	51269	25666	25603
29	コロンビア	50883	24985	25898
30	スペイン	46755	22978	23776
31	ウガンダ	45741	22547	23194
32	アルゼンチン	45196	22049	23147
33	アルジェリア	43851	22154	21697
34	スーダン	43849	21907	21942
35	ウクライナ	43734	20263	23471
36	イラク	40223	20358	19865
37	アフガニスタン	38928	19976	18952
38	ポーランド	37847	18338	19509
39	カナダ	37742	18732	19010
40	モロッコ	36911	18317	18594
41	サウジアラビア	34814	20131	14683
42	ウズベキスタン	33469	16697	16772
43	ペルー	32972	16379	16593
44	アンゴラ	32866	16261	16605
45	マレーシア	32366	16631	15735
46	モザンビーク	31255	15188	16067
47	ガーナ	31073	15750	15323
48	イエメン	29826	15025	14801
49	ネパール	29137	13348	15788
50	ベネズエラ	28436	13985	14451
51	マダガスカル	27691	13815	13876
52	カメルーン	26546	13277	13269
53	コートジボワール	26378	13300	13078
54	北朝鮮	25779	12608	13170
55	オーストラリア	25500	12699	12801
56	ニジェール	24207	12170	12036
57	スリランカ	21413	10267	11146
58	ブルキナファソ	20903	10445	10459
59	マリ	20251	10145	10106
60	ルーマニア	19238	9354	9884
61	マラウイ	19130	9434	9696
62	チリ	19116	9426	9691
63	カザフスタン	18777	9113	9664
64	ザンビア	18384	9103	9281
65	グアテマラ	17916	8827	9088
66	エクアドル	17643	8824	8819
67	シリア	17501	8760	8741
68	オランダ	17135	8537	8598
69	セネガル	16744	8171	8573
70	カンボジア	16719	8162	8557
71	チャド	16426	8200	8226
72	ソマリア	15893	7924	7969
73	ジンバブエ	14863	7092	7771
74	ギニア	13133	6353	6780
75	ルワンダ	12952	6367	6585
76	ベナン	12123	6054	6069
77	ブルンジ	11891	5900	5991
78	チュニジア	11819	5861	5958
79	ボリビア	11673	5858	5815
80	ベルギー	11590	5744	5845
81	ハイチ	11403	5626	5776
82	キューバ	11327	5623	5703
83	南スーダン	11194	5603	5591
84	ドミニカ共和国	10848	5418	5430
85	チェコ	10709	5273	5436
86	ギリシャ	10423	5116	5307
87	ヨルダン	10203	5166	5037
88	ポルトガル	10197	4824	5373
89	アゼルバイジャン	10139	5065	5075
90	スウェーデン	10099	5059	5040
91	ホンジュラス	9905	4949	4956
92	アラブ首長国連邦	9890	6836	3054
93	ハンガリー	9660	4598	5062
94	タジキスタン	9538	4806	4732
95	ベラルーシ	9449	4399	5050
96	オーストリア	9006	4440	4567
97	パプアニューギニア	8947	4568	4379
98	セルビア	8737	4280	4458
99	イスラエル	8656	4308	4347
100	スイス	8655	4294	4361
101	トーゴ	8279	4119	4159
102	シエラレオネ	7977	3981	3996
103	ラオス	7276	3652	3624
104	パラグアイ	7133	3624	3508
105	ブルガリア	6948	3374	3574
106	リビア	6871	3469	3403
107	レバノン	6825	3436	3390
108	ニカラグア	6625	3265	3360
109	キルギス	6524	3227	3297
110	エルサルバドル	6486	3036	3450
111	トルクメニスタン	6031	2969	3062
112	シンガポール	5850	3062	2788
113	デンマーク	5792	2879	2913
114	フィンランド	5541	2732	2808
115	コンゴ共和国	5518	2757	2761
116	スロバキア	5460	2658	2801
117	ノルウェー	5421	2740	2681
118	オマーン	5107	3370	1736
119	コスタリカ	5094	2545	2549
120	リベリア	5058	2543	2515
121	アイルランド	4938	2451	2486
122	中央アフリカ共和国	4830	2394	2436
123	ニュージーランド	4822	2370	2452
124	モーリタニア	4650	2335	2315
125	パナマ	4315	2160	2155
126	クウェート	4271	2614	1656
127	クロアチア	4105	1979	2126
128	モルドバ	4034	1932	2102
129	ジョージア	3989	1901	2088
130	エリトリア	3546	1778	1769
131	ウルグアイ	3474	1678	1795
132	ボスニア・ヘルツェゴビナ	3281	1607	1674
133	モンゴル	3278	1615	1663
134	アルメニア	2963	1394	1569
135	ジャマイカ	2961	1470	1492
136	カタール	2881	2165	716
137	アルバニア	2878	1465	1413
138	リトアニア	2722	1260	1462
139	ナミビア	2541	1232	1309
140	ガンビア	2417	1199	1218
141	ボツワナ	2352	1139	1213
142	ガボン	2226	1133	1093
143	レソト	2142	1057	1085
144	北マケドニア	2083	1042	1041
145	スロベニア	2079	1035	1044
146	ギニアビサウ	1968	963	1005
147	ラトビア	1886	869	1017
148	バーレーン	1702	1100	601
149	赤道ギニア	1403	780	623
150	トリニダード・トバゴ	1399	691	709
151	エストニア	1327	628	698
152	東ティモール	1318	666	652
153	モーリシャス	1272	627	644
154	キプロス	1207	604	604
155	エスワティニ	1160	570	590
156	ジブチ	988	519	469
157	フィジー	896	454	442
158	コモロ	870	439	431
159	ガイアナ	787	396	391
160	ブータン	772	410	362
161	ソロモン諸島	687	349	338
162	モンテネグロ	628	311	317
163	ルクセンブルク	626	317	309
164	スリナム	587	295	292
165	カーボベルデ	556	279	277
166	モルディブ	541	343	198
167	マルタ	442	221	220
168	ブルネイ	437	227	210
169	ベリーズ	398	198	200
170	バハマ	393	191	202
171	アイスランド	341	171	170
172	バヌアツ	307	156	151
173	バルバドス	287	139	148
174	サントメ・プリンシペ	219	110	109
175	サモア	198	103	96
176	セントルシア	184	90	93
177	キリバス	119	59	61
178	ミクロネシア	115	58	57
179	グレナダ	113	57	56
180	セントビンセント・グレナディーン	111	56	55
181	トンガ	106	53	53
182	アンティグア・バーブーダ	98	47	51
183	セーシェル	98	50	48
184	アンドラ	77	-	-
185	ドミニカ国	72	-	-
186	マーシャル諸島	59	-	-
187	セントクリストファー・ネービス	53	-	- # セントクリストファー・ネービス
188	モナコ	39	-	-
189	サンマリノ	34	-	-
190	クック諸島	18	-	-
190	パラオ	18	-	-
192	ツバル	12	-	-
193	ナウル	11	-	-
194	ニウエ	2	-	-
-	台湾（中華民国）	23260